date_time,close,MCS,Jaccard,VertexRanking,VertexEdgeOverlap,BagOfCliques,BagOfNodes,WeisfeleirLehmanKernel
2022-01-01 00:30:00,46603.64,0.40413,0.58183,0.86698,0.42758,0.45206,0.51707,0.79467
2022-01-01 00:45:00,46656.85,0.30266,0.39337,0.58731,0.26381,0.26304,0.40476,0.52521
2022-01-01 01:00:00,46760.66,0.39533,0.67245,0.94601,0.50252,0.57035,0.59807,0.74082
2022-01-01 01:15:00,46800.0,0.57642,0.63643,0.4961,0.48662,0.46872,0.65578,0.74714
2022-01-01 01:30:00,46761.78,0.4698,0.62162,0.55251,0.46779,0.49768,0.547,0.64909
2022-01-01 01:45:00,46780.85,0.28924,0.55017,0.46182,0.38582,0.4795,0.37331,0.7511
2022-01-01 02:00:00,46848.97,0.22237,0.43627,0.44336,0.29361,0.39621,0.3573,0.64205
2022-01-01 02:15:00,46829.2,0.28121,0.48374,0.34144,0.32795,0.42237,0.3189,0.75148
2022-01-01 02:30:00,46775.68,0.27624,0.44897,0.40682,0.30332,0.34077,0.36994,0.76754
2022-01-01 02:45:00,46808.55,0.36166,0.48446,0.30543,0.33879,0.29656,0.58322,0.74275
2022-01-01 03:00:00,46820.26,0.39343,0.59943,0.53621,0.43667,0.46768,0.55115,0.78347
2022-01-01 03:15:00,46804.96,0.43611,0.46009,0.43118,0.32941,0.34254,0.47284,0.52224
2022-01-01 03:30:00,46869.98,0.41239,0.61308,0.57428,0.46832,0.478,0.60772,0.59254
2022-01-01 03:45:00,46804.01,0.37326,0.70285,0.53858,0.55454,0.62326,0.59779,0.57725
2022-01-01 04:00:00,46647.73,0.31132,0.45723,0.08171,0.33841,0.33375,0.42462,0.65978
2022-01-01 04:15:00,46700.54,0.47072,0.68615,0.28392,0.53089,0.60435,0.6491,0.6962
2022-01-01 04:30:00,46728.57,0.43945,0.71895,0.20584,0.56235,0.60058,0.66788,0.91834
2022-01-01 04:45:00,46701.29,0.51376,0.68595,0.26322,0.54332,0.5149,0.76605,0.57761
2022-01-01 05:00:00,46765.91,0.33188,0.50682,0.0,0.37587,0.34572,0.54039,0.55085
2022-01-01 05:15:00,47383.45,0.28132,0.49534,0.22067,0.36403,0.3787,0.42832,0.86072
2022-01-01 05:30:00,47295.68,0.43565,0.69216,0.49332,0.54104,0.56284,0.66633,0.83401
2022-01-01 05:45:00,47188.0,0.45842,0.61632,0.17186,0.47155,0.44756,0.66896,0.7979
2022-01-01 06:00:00,47305.4,0.39463,0.62082,0.19226,0.46538,0.51262,0.51166,0.74328
2022-01-01 06:15:00,47129.3,0.47683,0.66523,0.3018,0.5141,0.548,0.57458,0.77608
2022-01-01 06:30:00,47160.0,0.11505,0.36849,0.32581,0.25544,0.33549,0.14782,0.68379
2022-01-01 06:45:00,46976.98,0.24994,0.54423,0.08909,0.40085,0.4643,0.38263,0.67214
2022-01-01 07:00:00,46990.18,0.33012,0.48548,0.18351,0.35808,0.35988,0.53641,0.77714
2022-01-01 07:15:00,46958.15,0.44243,0.66722,0.40603,0.52361,0.5133,0.68997,0.73298
2022-01-01 07:30:00,47093.66,0.4709,0.66922,0.38539,0.52022,0.54335,0.65035,0.74726
2022-01-01 07:45:00,47200.01,0.31696,0.53935,0.53535,0.39408,0.40742,0.49164,0.73091
2022-01-01 08:00:00,47156.33,0.47525,0.52859,0.04001,0.39125,0.38133,0.53387,0.5991
2022-01-01 08:15:00,47313.76,0.53719,0.70741,0.54428,0.56546,0.56188,0.76661,0.83511
2022-01-01 08:30:00,47210.52,0.46375,0.62998,0.58454,0.49115,0.44538,0.71421,0.97877
2022-01-01 08:45:00,47119.93,0.52287,0.62182,0.16978,0.47997,0.38792,0.81505,0.96566
2022-01-01 09:00:00,47212.89,0.47972,0.5468,0.19139,0.40256,0.38812,0.56336,0.91553
2022-01-01 09:15:00,47096.27,0.65939,0.66759,0.20451,0.52579,0.49644,0.68571,0.89414
2022-01-01 09:30:00,46992.62,0.54256,0.66633,0.19503,0.52921,0.50038,0.73016,0.66913
2022-01-01 09:45:00,47139.67,0.35459,0.57166,0.3247,0.43688,0.43846,0.54247,0.64921
2022-01-01 10:00:00,47112.41,0.1708,0.40808,0.29251,0.29965,0.39057,0.24205,0.72651
2022-01-01 10:15:00,46872.6,0.30754,0.43628,0.39868,0.32687,0.37035,0.33521,0.71223
2022-01-01 10:30:00,46988.79,0.30356,0.50993,0.33185,0.3901,0.42182,0.44266,0.80749
2022-01-01 10:45:00,46863.79,0.35487,0.56683,0.39102,0.4376,0.43383,0.55921,0.92453
2022-01-01 11:00:00,46928.96,0.361,0.48656,0.13954,0.36575,0.34738,0.49468,0.85806
2022-01-01 11:15:00,46957.95,0.36892,0.52671,0.39051,0.39921,0.36495,0.58063,0.95152
2022-01-01 11:30:00,46940.72,0.47081,0.42696,0.19359,0.30841,0.21497,0.57291,0.74902
2022-01-01 11:45:00,46758.11,0.46088,0.49036,0.30231,0.3619,0.35658,0.50952,0.82148
2022-01-01 12:00:00,46985.65,0.25208,0.38313,0.30083,0.27922,0.27154,0.35643,0.76322
2022-01-01 12:15:00,46964.76,0.37096,0.52963,0.25786,0.40864,0.38651,0.52841,0.69328
2022-01-01 12:30:00,47015.1,0.43825,0.6653,0.17161,0.52487,0.54766,0.60223,0.67572
2022-01-01 12:45:00,47085.01,0.44056,0.63685,0.42614,0.49073,0.51531,0.57077,0.694
2022-01-01 13:00:00,47145.76,0.39355,0.50842,0.30533,0.37852,0.39145,0.45989,0.82709
2022-01-01 13:15:00,47036.95,0.49409,0.68529,0.43344,0.54496,0.57203,0.66973,0.80658
2022-01-01 13:30:00,47073.79,0.26024,0.46728,0.1933,0.34407,0.37765,0.37979,0.81014
2022-01-01 13:45:00,47023.9,0.24673,0.41979,0.29234,0.30208,0.34809,0.33757,0.79842
2022-01-01 14:00:00,46978.66,0.30122,0.4663,0.26968,0.34289,0.36724,0.39823,0.66613
2022-01-01 14:15:00,47030.47,0.31273,0.47752,0.2071,0.35655,0.3637,0.41336,0.80174
2022-01-01 14:30:00,46906.89,0.4074,0.61062,0.81596,0.47091,0.50564,0.56681,0.68293
2022-01-01 14:45:00,46926.47,0.34902,0.53982,0.43845,0.40199,0.43034,0.46464,0.6312
2022-01-01 15:00:00,46959.52,0.49028,0.72847,0.41412,0.58657,0.60474,0.73177,0.66803
2022-01-01 15:15:00,47028.63,0.4906,0.62329,0.34277,0.48568,0.42914,0.74757,0.82896
2022-01-01 15:30:00,47345.94,0.46409,0.61583,0.30793,0.47763,0.44833,0.7043,0.79722
2022-01-01 15:45:00,47231.0,0.35178,0.5657,0.4555,0.42469,0.4609,0.52493,0.77702
