unix,low,high,open,close,volume,date
1640995200.0,46205.0,46377.1,46211.24,46306.89,118.87106732,2022-01-01 00:00:00
1640995500.0,46268.25,46500.0,46315.1,46364.9,117.55274704,2022-01-01 00:05:00
1640995800.0,46264.15,46375.72,46363.03,46316.17,80.97873259,2022-01-01 00:10:00
1640996100.0,46211.35,46315.46,46315.46,46265.41,57.61428207,2022-01-01 00:15:00
1640996400.0,46262.12,46394.44,46265.42,46376.54,79.53389696,2022-01-01 00:20:00
1640996700.0,46325.53,46380.8,46376.53,46359.09,51.08845086,2022-01-01 00:25:00
1640997000.0,46334.08,46425.0,46359.1,46425.0,34.12463872,2022-01-01 00:30:00
1640997300.0,46424.6,46560.85,46424.61,46508.31,49.7413217,2022-01-01 00:35:00
1640997600.0,46484.0,46664.91,46508.07,46603.64,67.50981964,2022-01-01 00:40:00
1640997900.0,46566.17,46744.99,46603.71,46694.53,63.28791,2022-01-01 00:45:00
1640998200.0,46632.09,46718.63,46691.01,46665.2,56.11465037,2022-01-01 00:50:00
1640998500.0,46639.7,46689.1,46665.2,46656.85,45.89879297,2022-01-01 00:55:00
1640998800.0,46574.0,46665.0,46656.85,46579.86,38.01731621,2022-01-01 01:00:00
1640999100.0,46573.65,46665.0,46573.65,46665.0,36.37650063,2022-01-01 01:05:00
1640999400.0,46664.99,46762.51,46665.0,46760.66,58.78992365,2022-01-01 01:10:00
1640999700.0,46736.81,46891.07,46762.51,46873.68,98.07137058,2022-01-01 01:15:00
1641000000.0,46795.07,46931.0,46872.3,46846.44,99.00626491,2022-01-01 01:20:00
1641000300.0,46782.64,46868.93,46848.72,46800.0,34.61416145,2022-01-01 01:25:00
1641000600.0,46794.62,46869.82,46800.0,46837.55,77.40416243,2022-01-01 01:30:00
1641000900.0,46749.09,46881.59,46838.35,46801.16,42.10920265,2022-01-01 01:35:00
1641001200.0,46739.79,46800.97,46800.97,46761.78,27.24097751,2022-01-01 01:40:00
1641001500.0,46719.81,46781.16,46761.78,46771.67,41.45713439,2022-01-01 01:45:00
1641001800.0,46762.82,46895.14,46771.67,46816.33,112.65709739,2022-01-01 01:50:00
1641002100.0,46754.7,46827.71,46814.75,46780.85,20.32974219,2022-01-01 01:55:00
1641002400.0,46769.32,46825.0,46778.0,46824.35,29.76424501,2022-01-01 02:00:00
1641002700.0,46795.02,46865.0,46822.19,46809.76,36.53750198,2022-01-01 02:05:00
1641003000.0,46788.38,46860.92,46808.15,46848.97,34.15601787,2022-01-01 02:10:00
1641003300.0,46850.0,46929.2,46850.0,46914.56,37.9307121,2022-01-01 02:15:00
1641003600.0,46832.49,46926.01,46914.53,46843.79,50.25473236,2022-01-01 02:20:00
1641003900.0,46827.17,46872.29,46843.79,46829.2,53.88889561,2022-01-01 02:25:00
1641004200.0,46790.0,46831.5,46828.2,46791.65,43.28816357,2022-01-01 02:30:00
1641004500.0,46728.5,46803.77,46791.64,46755.64,37.93563624,2022-01-01 02:35:00
1641004800.0,46753.07,46801.38,46756.31,46775.68,24.27558155,2022-01-01 02:40:00
1641005100.0,46776.75,46839.31,46776.75,46804.72,27.60765143,2022-01-01 02:45:00
1641005400.0,46779.25,46827.56,46804.71,46819.42,20.3794468,2022-01-01 02:50:00
1641005700.0,46757.7,46855.13,46820.0,46808.55,37.35520652,2022-01-01 02:55:00
1641006000.0,46757.45,46820.93,46808.55,46781.2,20.67113994,2022-01-01 03:00:00
1641006300.0,46773.58,46820.93,46788.28,46820.93,20.47506524,2022-01-01 03:05:00
1641006600.0,46804.41,46848.73,46820.93,46820.26,24.17861183,2022-01-01 03:10:00
1641006900.0,46804.08,46895.06,46819.21,46880.0,27.12261744,2022-01-01 03:15:00
1641007200.0,46779.56,46880.0,46879.99,46790.21,33.22993429,2022-01-01 03:20:00
1641007500.0,46788.72,46849.61,46790.21,46804.96,44.28565961,2022-01-01 03:25:00
1641007800.0,46798.93,46856.3,46804.95,46845.09,50.4182048,2022-01-01 03:30:00
1641008100.0,46826.84,46862.57,46846.74,46847.76,38.86219938,2022-01-01 03:35:00
1641008400.0,46835.11,46893.72,46847.76,46869.98,25.38556365,2022-01-01 03:40:00
1641008700.0,46821.96,46892.45,46869.97,46822.72,30.77408534,2022-01-01 03:45:00
1641009000.0,46804.62,46867.53,46824.0,46863.25,15.94741164,2022-01-01 03:50:00
1641009300.0,46804.0,46865.7,46863.77,46804.01,22.89401906,2022-01-01 03:55:00
1641009600.0,46803.33,46853.56,46804.0,46848.69,35.50624866,2022-01-01 04:00:00
1641009900.0,46825.87,46872.86,46848.69,46833.78,54.42171356,2022-01-01 04:05:00
1641010200.0,46629.12,46840.99,46835.35,46647.73,48.6044156,2022-01-01 04:10:00
1641010500.0,46621.59,46705.8,46646.87,46629.59,80.60900169,2022-01-01 04:15:00
1641010800.0,46628.03,46699.33,46628.03,46666.91,39.43795917,2022-01-01 04:20:00
1641011100.0,46661.18,46716.75,46666.91,46700.54,22.0589682,2022-01-01 04:25:00
1641011400.0,46658.82,46701.12,46701.12,46662.78,33.26771202,2022-01-01 04:30:00
1641011700.0,46634.39,46690.0,46662.78,46684.44,29.1577963,2022-01-01 04:35:00
1641012000.0,46660.28,46749.0,46677.41,46728.57,48.74498266,2022-01-01 04:40:00
1641012300.0,46716.16,46816.24,46728.57,46816.24,40.85829345,2022-01-01 04:45:00
1641012600.0,46782.78,46833.99,46816.68,46787.0,21.86761873,2022-01-01 04:50:00
1641012900.0,46692.31,46791.78,46787.0,46701.29,40.89205437,2022-01-01 04:55:00
1641013200.0,46678.61,46742.76,46696.45,46693.37,45.23342994,2022-01-01 05:00:00
1641013500.0,46668.64,46700.0,46693.37,46682.57,26.7841706,2022-01-01 05:05:00
1641013800.0,46677.47,46765.92,46682.56,46765.91,25.83153769,2022-01-01 05:10:00
1641014100.0,46757.5,46822.17,46765.9,46815.5,34.8587212,2022-01-01 05:15:00
1641014400.0,46812.24,47446.39,46815.98,47436.63,142.99630145,2022-01-01 05:20:00
1641014700.0,47346.84,47478.85,47432.12,47383.45,117.95889826,2022-01-01 05:25:00
1641015000.0,47378.09,47548.53,47381.97,47483.02,78.81554365,2022-01-01 05:30:00
1641015300.0,47439.21,47522.93,47481.4,47465.68,40.10666995,2022-01-01 05:35:00
1641015600.0,47242.48,47475.94,47465.6,47295.68,36.8123867,2022-01-01 05:40:00
1641015900.0,47179.52,47294.35,47294.35,47238.88,41.72609695,2022-01-01 05:45:00
1641016200.0,47185.01,47308.51,47238.9,47265.62,19.71438999,2022-01-01 05:50:00
1641016500.0,47134.9,47302.0,47269.06,47188.0,31.80025521,2022-01-01 05:55:00
1641016800.0,47111.42,47265.22,47188.0,47111.42,76.89367419,2022-01-01 06:00:00
1641017100.0,47096.4,47281.82,47111.41,47272.77,46.04654051,2022-01-01 06:05:00
1641017400.0,47241.88,47327.89,47275.02,47305.4,19.77637242,2022-01-01 06:10:00
1641017700.0,47184.78,47304.47,47304.47,47199.39,33.08712302,2022-01-01 06:15:00
1641018000.0,47169.19,47219.59,47202.88,47176.96,18.98057879,2022-01-01 06:20:00
1641018300.0,47119.68,47177.53,47174.92,47129.3,20.46310083,2022-01-01 06:25:00
1641018600.0,47109.73,47182.31,47131.93,47143.22,24.77261724,2022-01-01 06:30:00
1641018900.0,47115.38,47194.89,47145.07,47139.23,19.1633355,2022-01-01 06:35:00
1641019200.0,47131.15,47198.54,47134.0,47160.0,16.38929579,2022-01-01 06:40:00
1641019500.0,47044.43,47229.18,47162.41,47072.32,39.47870617,2022-01-01 06:45:00
1641019800.0,47030.44,47088.03,47077.48,47039.16,13.88892953,2022-01-01 06:50:00
1641020100.0,46944.81,47112.57,47039.16,46976.98,51.62020563,2022-01-01 06:55:00
1641020400.0,46932.86,47053.55,46982.82,47046.85,39.82510287,2022-01-01 07:00:00
1641020700.0,46903.5,47051.3,47046.85,46960.79,23.75972286,2022-01-01 07:05:00
1641021000.0,46933.06,46990.18,46960.77,46990.18,10.89263147,2022-01-01 07:10:00
1641021300.0,46970.82,47045.5,46990.18,47045.49,21.09324406,2022-01-01 07:15:00
