unix,low,high,open,close,volume,date
1640995200.0,46205.0,46500.0,46211.24,46316.17,317.40254695,2022-01-01 00:00:00
1640996100.0,46211.35,46394.44,46315.46,46359.09,188.23662989,2022-01-01 00:15:00
1640997000.0,46334.08,46664.91,46359.1,46603.64,151.37578006,2022-01-01 00:30:00
1640997900.0,46566.17,46744.99,46603.71,46656.85,165.30135334,2022-01-01 00:45:00
1640998800.0,46573.65,46762.51,46656.85,46760.66,133.18374049,2022-01-01 01:00:00
1640999700.0,46736.81,46931.0,46762.51,46800.0,231.69179694,2022-01-01 01:15:00
1641000600.0,46739.79,46881.59,46800.0,46761.78,146.75434259,2022-01-01 01:30:00
1641001500.0,46719.81,46895.14,46761.78,46780.85,174.44397397,2022-01-01 01:45:00
1641002400.0,46769.32,46865.0,46778.0,46848.97,100.45776486,2022-01-01 02:00:00
1641003300.0,46827.17,46929.2,46850.0,46829.2,142.07434007,2022-01-01 02:15:00
1641004200.0,46728.5,46831.5,46828.2,46775.68,105.49938136,2022-01-01 02:30:00
1641005100.0,46757.7,46855.13,46776.75,46808.55,85.34230475,2022-01-01 02:45:00
1641006000.0,46757.45,46848.73,46808.55,46820.26,65.32481701,2022-01-01 03:00:00
1641006900.0,46779.56,46895.06,46819.21,46804.96,104.63821134,2022-01-01 03:15:00
1641007800.0,46798.93,46893.72,46804.95,46869.98,114.66596783,2022-01-01 03:30:00
1641008700.0,46804.0,46892.45,46869.97,46804.01,69.61551604,2022-01-01 03:45:00
1641009600.0,46629.12,46872.86,46804.0,46647.73,138.53237782,2022-01-01 04:00:00
1641010500.0,46621.59,46716.75,46646.87,46700.54,142.10592906,2022-01-01 04:15:00
1641011400.0,46634.39,46749.0,46701.12,46728.57,111.17049098,2022-01-01 04:30:00
1641012300.0,46692.31,46833.99,46728.57,46701.29,103.61796655,2022-01-01 04:45:00
1641013200.0,46668.64,46765.92,46696.45,46765.91,97.84913823,2022-01-01 05:00:00
1641014100.0,46757.5,47478.85,46765.9,47383.45,295.81392091,2022-01-01 05:15:00
1641015000.0,47242.48,47548.53,47381.97,47295.68,155.7346003,2022-01-01 05:30:00
1641015900.0,47134.9,47308.51,47294.35,47188.0,93.24074215,2022-01-01 05:45:00
1641016800.0,47096.4,47327.89,47188.0,47305.4,142.71658712,2022-01-01 06:00:00
1641017700.0,47119.68,47304.47,47304.47,47129.3,72.53080264,2022-01-01 06:15:00
1641018600.0,47109.73,47198.54,47131.93,47160.0,60.32524853,2022-01-01 06:30:00
1641019500.0,46944.81,47229.18,47162.41,46976.98,104.98784133,2022-01-01 06:45:00
1641020400.0,46903.5,47053.55,46982.82,46990.18,74.4774572,2022-01-01 07:00:00
1641021300.0,46942.97,47050.4,46990.18,46958.15,79.58350045,2022-01-01 07:15:00
1641022200.0,46944.45,47114.18,46960.94,47093.66,48.67676853,2022-01-01 07:30:00
1641023100.0,47070.0,47251.76,47097.76,47200.01,96.16355638,2022-01-01 07:45:00
1641024000.0,47087.67,47230.71,47200.14,47156.33,42.60956884,2022-01-01 08:00:00
1641024900.0,47151.38,47347.54,47156.33,47313.76,62.57679059,2022-01-01 08:15:00
1641025800.0,47172.17,47317.68,47312.94,47210.52,45.67204003,2022-01-01 08:30:00
1641026700.0,47087.17,47260.95,47215.99,47119.93,65.12484628,2022-01-01 08:45:00
1641027600.0,47068.33,47212.89,47124.07,47212.89,27.27395617,2022-01-01 09:00:00
1641028500.0,47081.8,47209.83,47209.83,47096.27,26.58445706,2022-01-01 09:15:00
1641029400.0,46938.37,47132.84,47100.82,46992.62,62.35871992,2022-01-01 09:30:00
1641030300.0,46962.46,47139.67,46992.61,47139.67,20.79791378,2022-01-01 09:45:00
1641031200.0,47108.54,47299.79,47139.66,47112.41,57.57792832,2022-01-01 10:00:00
1641032100.0,46827.44,47112.39,47112.39,46872.6,85.77991194,2022-01-01 10:15:00
1641033000.0,46722.71,47022.07,46875.51,46988.79,85.03321248,2022-01-01 10:30:00
1641033900.0,46861.16,47083.96,46989.2,46863.79,39.6052375,2022-01-01 10:45:00
1641034800.0,46860.85,46961.21,46863.79,46928.96,18.45845496,2022-01-01 11:00:00
1641035700.0,46901.22,47000.0,46921.77,46957.95,18.94222004,2022-01-01 11:15:00
1641036600.0,46819.0,46989.33,46957.94,46940.72,34.97667597,2022-01-01 11:30:00
1641037500.0,46205.0,46977.19,46937.26,46758.11,417.66192722,2022-01-01 11:45:00
1641038400.0,46754.97,46985.65,46754.97,46985.65,28.06815384,2022-01-01 12:00:00
1641039300.0,46878.54,47000.0,46985.65,46964.76,25.85018999,2022-01-01 12:15:00
1641040200.0,46947.15,47155.28,46964.75,47015.1,57.11228915,2022-01-01 12:30:00
1641041100.0,47015.09,47146.04,47015.1,47085.01,26.72155728,2022-01-01 12:45:00
1641042000.0,47033.01,47160.92,47085.01,47145.76,43.55298128,2022-01-01 13:00:00
1641042900.0,46996.89,47206.01,47145.83,47036.95,46.76737919,2022-01-01 13:15:00
1641043800.0,46950.75,47093.82,47035.78,47073.79,31.27693602,2022-01-01 13:30:00
1641044700.0,46976.03,47087.16,47072.3,47023.9,32.36904833,2022-01-01 13:45:00
1641045600.0,46954.93,47074.02,47023.89,46978.66,52.53684062,2022-01-01 14:00:00
1641046500.0,46977.01,47115.48,46977.01,47030.47,38.51122704,2022-01-01 14:15:00
1641047400.0,46855.69,47046.17,47028.53,46906.89,58.34525472,2022-01-01 14:30:00
1641048300.0,46877.95,46970.44,46906.89,46926.47,53.46991187,2022-01-01 14:45:00
1641049200.0,46872.46,47000.0,46926.42,46959.52,45.00433003,2022-01-01 15:00:00
1641050100.0,46922.04,47033.22,46954.36,47028.63,50.55311809,2022-01-01 15:15:00
1641051000.0,47002.99,47486.85,47029.26,47345.94,164.40683794,2022-01-01 15:30:00
1641051900.0,47139.94,47409.08,47345.94,47231.0,257.30138114,2022-01-01 15:45:00
1641052800.0,47202.18,47468.79,47231.0,47452.22,200.47020226,2022-01-01 16:00:00
1641053700.0,47364.05,47549.69,47452.23,47507.67,233.65775182,2022-01-01 16:15:00
1641054600.0,47403.16,47526.55,47507.66,47453.56,136.94226956,2022-01-01 16:30:00
1641055500.0,47279.83,47497.61,47447.83,47302.78,143.69492964,2022-01-01 16:45:00
1641056400.0,47260.55,47420.34,47301.52,47270.27,105.29052089,2022-01-01 17:00:00
1641057300.0,47263.98,47368.88,47270.27,47345.46,69.42075599,2022-01-01 17:15:00
1641058200.0,47341.86,47950.0,47345.46,47870.17,225.13602512,2022-01-01 17:30:00
1641059100.0,47691.97,47967.12,47870.18,47769.78,118.94548546,2022-01-01 17:45:00
1641060000.0,47680.0,47850.0,47769.78,47760.63,78.1485288,2022-01-01 18:00:00
1641060900.0,47628.83,47800.59,47760.63,47657.19,83.09459387,2022-01-01 18:15:00
1641061800.0,47436.76,47698.71,47657.19,47489.41,114.4083671,2022-01-01 18:30:00
1641062700.0,47447.62,47637.17,47489.41,47578.42,105.92698267,2022-01-01 18:45:00
1641063600.0,47508.09,47634.98,47577.44,47525.88,72.02023199,2022-01-01 19:00:00
1641064500.0,47352.04,47527.77,47525.88,47401.39,88.00822549,2022-01-01 19:15:00
1641065400.0,47305.71,47425.21,47401.38,47336.99,97.44546122,2022-01-01 19:30:00
1641066300.0,47306.2,47368.63,47336.99,47347.77,78.26311753,2022-01-01 19:45:00
1641067200.0,47308.01,47368.51,47347.22,47330.39,54.0175549,2022-01-01 20:00:00
1641068100.0,47265.78,47444.27,47330.39,47428.94,82.91022394,2022-01-01 20:15:00
1641069000.0,47407.49,47579.24,47428.94,47421.64,104.21056571,2022-01-01 20:30:00
1641069900.0,47368.59,47490.73,47421.43,47413.98,65.29395911,2022-01-01 20:45:00
1641070800.0,47377.06,47548.86,47413.98,47530.99,89.01274791,2022-01-01 21:00:00
1641071700.0,47360.93,47550.0,47530.48,47377.87,69.64406167,2022-01-01 21:15:00
1641072600.0,47360.2,47510.0,47380.22,47461.45,92.94921831,2022-01-01 21:30:00
1641073500.0,47288.18,47492.46,47461.46,47335.57,125.77577826,2022-01-01 21:45:00
1641074400.0,47245.84,47384.47,47334.12,47280.26,69.21374594,2022-01-01 22:00:00
1641075300.0,47272.08,47427.5,47280.26,47407.9,59.11359493,2022-01-01 22:15:00
1641076200.0,47385.99,47484.59,47408.68,47458.13,46.18700336,2022-01-01 22:30:00
1641077100.0,47389.58,47500.0,47458.13,47455.8,65.52986939,2022-01-01 22:45:00
1641078000.0,47295.97,47468.46,47455.8,47347.87,58.28731021,2022-01-01 23:00:00
1641078900.0,47344.17,47499.99,47354.37,47455.18,54.58595369,2022-01-01 23:15:00
1641079800.0,47388.64,47600.0,47448.89,47510.85,78.30253159,2022-01-01 23:30:00
1641080700.0,47501.46,47823.25,47509.5,47733.43,161.33744947,2022-01-01 23:45:00
1641081600.0,47482.2,47770.37,47733.43,47528.57,137.60950091,2022-01-02 00:00:00
1641082500.0,47400.0,47562.06,47528.57,47555.69,112.07107487,2022-01-02 00:15:00
1641083400.0,47493.98,47709.7,47554.4,47649.49,149.6775659,2022-01-02 00:30:00
1641084300.0,47587.02,47683.31,47649.47,47637.43,56.18997442,2022-01-02 00:45:00
1641085200.0,47438.76,47654.79,47637.43,47456.92,47.92936789,2022-01-02 01:00:00
1641086100.0,47423.83,47515.15,47456.92,47465.23,51.70199846,2022-01-02 01:15:00
1641087000.0,47331.02,47498.32,47465.23,47396.33,61.16178898,2022-01-02 01:30:00
1641087900.0,47328.15,47412.74,47396.33,47384.62,61.54708251,2022-01-02 01:45:00
1641088800.0,47337.27,47452.14,47387.09,47446.56,124.70221061,2022-01-02 02:00:00
1641089700.0,47322.0,47457.12,47448.82,47338.91,51.81214829,2022-01-02 02:15:00
1641090600.0,47290.75,47436.82,47338.9,47366.78,54.86808412,2022-01-02 02:30:00
1641091500.0,47366.76,47437.3,47366.77,47379.51,43.92980686,2022-01-02 02:45:00
1641092400.0,47305.92,47405.07,47379.51,47308.08,31.69266394,2022-01-02 03:00:00
1641093300.0,47280.0,47397.0,47308.09,47396.8,49.4207476,2022-01-02 03:15:00
1641094200.0,47383.74,47491.5,47396.72,47411.48,67.88132903,2022-01-02 03:30:00
1641095100.0,47285.78,47416.37,47411.65,47339.42,50.83408969,2022-01-02 03:45:00
1641096000.0,47309.01,47430.8,47338.81,47391.72,40.50286789,2022-01-02 04:00:00
1641096900.0,47293.48,47395.56,47392.83,47314.52,40.69008781,2022-01-02 04:15:00
1641097800.0,47134.44,47393.34,47312.93,47171.18,123.71455796,2022-01-02 04:30:00
1641098700.0,46767.94,47179.51,47171.18,46915.59,253.76767349,2022-01-02 04:45:00
1641099600.0,46841.88,47006.16,46920.39,46884.19,88.68399721,2022-01-02 05:00:00
1641100500.0,46852.9,46968.78,46883.5,46948.39,80.65008823,2022-01-02 05:15:00
1641101400.0,46948.33,47073.62,46948.4,46973.82,76.75984117,2022-01-02 05:30:00
1641102300.0,46924.34,47097.47,46972.02,47093.4,68.45522583,2022-01-02 05:45:00
1641103200.0,47023.68,47141.21,47095.58,47040.4,69.43459281,2022-01-02 06:00:00
1641104100.0,47031.09,47197.0,47040.89,47111.88,55.4639413,2022-01-02 06:15:00
1641105000.0,47069.08,47232.36,47111.88,47190.86,63.34785674,2022-01-02 06:30:00
1641105900.0,47128.12,47246.77,47193.95,47128.82,50.07940797,2022-01-02 06:45:00
1641106800.0,47101.67,47185.91,47130.3,47143.84,41.33600977,2022-01-02 07:00:00
1641107700.0,47142.48,47223.58,47143.92,47195.34,28.7037073,2022-01-02 07:15:00
1641108600.0,47172.11,47305.87,47193.84,47189.99,35.57653271,2022-01-02 07:30:00
1641109500.0,47107.39,47208.18,47190.26,47189.04,48.99294301,2022-01-02 07:45:00
1641110400.0,46985.03,47189.04,47189.04,47073.57,58.25803778,2022-01-02 08:00:00
1641111300.0,47060.84,47232.64,47073.57,47179.94,38.42878996,2022-01-02 08:15:00
1641112200.0,47064.2,47195.61,47179.95,47171.23,47.40273245,2022-01-02 08:30:00
1641113100.0,47153.13,47258.18,47172.36,47231.0,41.29001325,2022-01-02 08:45:00
1641114000.0,47158.47,47248.24,47230.43,47228.41,35.41751651,2022-01-02 09:00:00
1641114900.0,47190.98,47494.84,47228.41,47355.89,77.44879334,2022-01-02 09:15:00
1641115800.0,47334.78,47403.62,47352.79,47390.64,36.92654682,2022-01-02 09:30:00
1641116700.0,47269.98,47394.47,47394.47,47282.86,37.58954837,2022-01-02 09:45:00
1641117600.0,47264.27,47356.21,47282.86,47345.93,33.75665228,2022-01-02 10:00:00
1641118500.0,47261.8,47354.97,47354.97,47286.77,42.5821777,2022-01-02 10:15:00
1641119400.0,47231.12,47330.11,47282.31,47275.93,20.50608465,2022-01-02 10:30:00
1641120300.0,47150.89,47280.34,47275.93,47200.1,32.45678614,2022-01-02 10:45:00
1641121200.0,47172.91,47294.01,47198.58,47282.72,19.25865106,2022-01-02 11:00:00
1641122100.0,47259.95,47343.23,47283.5,47321.71,13.40684225,2022-01-02 11:15:00
1641123000.0,47274.09,47397.02,47324.22,47279.79,18.26944461,2022-01-02 11:30:00
1641123900.0,47208.73,47278.76,47278.76,47245.99,12.57871058,2022-01-02 11:45:00
1641124800.0,47025.59,47258.9,47246.49,47118.79,49.4096302,2022-01-02 12:00:00
1641125700.0,47087.18,47203.46,47117.09,47166.71,29.4100063,2022-01-02 12:15:00
