unix,low,high,open,close,volume,date
1514764800.0,13536.13,13885.34,13863.14,13586.93,975.33688204,2018-01-01
1514768400.0,13332.11,13673.99,13588.0,13345.7,824.68339289,2018-01-01 01:00:00
1514772000.0,13320.01,13488.99,13345.71,13438.0,520.56952442,2018-01-01 02:00:00
1514775600.0,13400.57,13703.9,13438.0,13474.0,630.81549071,2018-01-01 03:00:00
1514779200.0,13361.01,13649.0,13474.0,13620.0,475.27304199,2018-01-01 04:00:00
1514782800.0,13462.71,13620.0,13620.0,13508.01,443.02198473,2018-01-01 05:00:00
1514786400.0,13400.0,13800.0,13508.01,13797.99,504.20403246,2018-01-01 06:00:00
1514790000.0,13580.01,13889.0,13798.0,13601.27,444.90614719,2018-01-01 07:00:00
1514793600.0,13432.0,13700.0,13601.29,13474.97,412.9200326,2018-01-01 08:00:00
1514797200.0,13459.98,13650.0,13474.97,13596.95,138.05718175,2018-01-01 09:00:00
1514800800.0,13479.04,13600.01,13596.95,13576.48,117.80164705,2018-01-01 10:00:00
1514804400.0,13188.0,13576.48,13576.47,13279.99,445.09012454,2018-01-01 11:00:00
1514808000.0,13190.0,13339.99,13280.0,13234.45,259.1309727,2018-01-01 12:00:00
1514811600.0,13054.43,13262.39,13234.45,13115.95,537.39151501,2018-01-01 13:00:00
1514815200.0,12952.5,13277.73,13115.95,13271.98,804.67304844,2018-01-01 14:00:00
1514818800.0,13178.85,13399.0,13271.99,13255.29,531.69219527,2018-01-01 15:00:00
1514822400.0,13035.0,13272.38,13250.37,13093.1,527.28738423,2018-01-01 16:00:00
1514826000.0,13093.09,13248.6,13093.1,13138.11,380.26933814,2018-01-01 17:00:00
1514829600.0,13114.47,13321.23,13138.12,13189.98,552.89205543,2018-01-01 18:00:00
1514833200.0,13156.91,13350.0,13189.98,13345.47,453.70157938,2018-01-01 19:00:00
1514836800.0,13345.46,13544.24,13345.47,13469.01,575.89473162,2018-01-01 20:00:00
1514840400.0,13432.0,13772.59,13469.01,13565.0,827.49920157,2018-01-01 21:00:00
1514844000.0,13475.33,13688.0,13565.01,13538.11,453.65171581,2018-01-01 22:00:00
1514847600.0,13454.0,13538.11,13538.1,13480.01,458.24331582,2018-01-01 23:00:00
1514851200.0,13480.0,13999.0,13480.0,13830.32,1060.40571583,2018-01-02
1514854800.0,13631.0,13889.42,13839.32,13632.94,1207.72415092,2018-01-02 01:00:00
1514858400.0,13431.0,13713.27,13639.99,13550.01,1831.90883543,2018-01-02 02:00:00
1514862000.0,13310.66,13550.01,13550.0,13372.95,896.06594839,2018-01-02 03:00:00
1514865600.0,13005.0,13400.0,13372.96,13164.83,1315.37158712,2018-01-02 04:00:00
1514869200.0,13150.0,13250.0,13164.84,13194.02,469.46641365,2018-01-02 05:00:00
1514872800.0,13154.63,13424.0,13194.01,13368.0,493.6753019,2018-01-02 06:00:00
1514876400.0,13300.0,13438.99,13368.0,13423.34,220.97266409,2018-01-02 07:00:00
1514880000.0,13423.33,13558.94,13423.34,13478.23,434.30475236,2018-01-02 08:00:00
1514883600.0,13478.23,13625.17,13478.24,13600.1,482.88418497,2018-01-02 09:00:00
1514887200.0,13600.09,13750.0,13600.1,13740.01,504.11205589,2018-01-02 10:00:00
1514890800.0,13560.0,13740.01,13740.0,13645.41,263.5439855,2018-01-02 11:00:00
1514894400.0,13580.0,13720.0,13640.01,13632.0,418.27734435,2018-01-02 12:00:00
1514898000.0,13632.0,13988.0,13632.0,13969.57,845.68990435,2018-01-02 13:00:00
1514901600.0,13790.0,13991.97,13969.57,13859.0,853.70516343,2018-01-02 14:00:00
1514905200.0,13660.0,13893.67,13858.99,13741.01,754.87273156,2018-01-02 15:00:00
1514908800.0,13689.99,13894.0,13741.01,13690.0,717.61332702,2018-01-02 16:00:00
1514912400.0,13680.0,13895.0,13689.99,13895.0,779.31551969,2018-01-02 17:00:00
