date_time,close,MCS,Jaccard,VertexRanking,VertexEdgeOverlap,BagOfCliques,BagOfNodes,WeisfeleirLehmanKernel
2018-07-01 02:00:00,6339.0,0.67394,0.97578,0.24576,0.73606,0.82853,0.66192,0.60855
2018-07-01 03:00:00,6350.15,0.66432,0.97554,0.23107,0.73553,0.83208,0.65271,0.69056
2018-07-01 04:00:00,6345.52,0.65936,0.97201,0.21505,0.72008,0.82645,0.64772,0.73656
2018-07-01 05:00:00,6376.22,0.6823,0.97956,0.26446,0.75527,0.86603,0.66652,0.8078
2018-07-01 06:00:00,6355.18,0.70576,0.98064,0.31523,0.76028,0.85248,0.68644,0.72434
2018-07-01 07:00:00,6368.5,0.69895,0.98144,0.25678,0.76424,0.86238,0.68393,0.79624
2018-07-01 08:00:00,6380.09,0.74628,0.98522,0.22273,0.78775,0.88561,0.69615,0.80681
2018-07-01 09:00:00,6349.69,0.70533,0.98003,0.20908,0.7594,0.84808,0.68867,0.66822
2018-07-01 10:00:00,6358.54,0.68972,0.9829,0.26364,0.77634,0.87904,0.67885,0.67515
2018-07-01 11:00:00,6363.65,0.65546,0.97944,0.29811,0.75706,0.86495,0.65173,0.63836
2018-07-01 12:00:00,6349.99,0.71771,0.9859,0.26098,0.79265,0.89663,0.69651,0.75556
2018-07-01 13:00:00,6334.98,0.72234,0.9834,0.19476,0.77727,0.86434,0.71084,0.66642
2018-07-01 14:00:00,6291.3,0.70888,0.98816,0.26073,0.80438,0.92002,0.70251,0.73938
2018-07-01 15:00:00,6315.11,0.72586,0.98928,0.24128,0.81502,0.92152,0.72045,0.80039
2018-07-01 16:00:00,6315.01,0.69626,0.97919,0.21819,0.75477,0.84005,0.68514,0.72259
2018-07-01 17:00:00,6326.01,0.7105,0.98146,0.23806,0.76671,0.84917,0.70158,0.76007
2018-07-01 18:00:00,6319.01,0.69823,0.98421,0.22867,0.78297,0.88465,0.69158,0.56831
2018-07-01 19:00:00,6315.7,0.72322,0.98406,0.23922,0.78232,0.86983,0.7108,0.80874
2018-07-01 20:00:00,6347.77,0.69054,0.9785,0.22356,0.7509,0.84182,0.67458,0.71849
2018-07-01 21:00:00,6360.0,0.69554,0.97851,0.19359,0.75116,0.83944,0.67781,0.7183
2018-07-01 22:00:00,6360.04,0.73195,0.98508,0.22769,0.78846,0.88276,0.70641,0.7629
2018-07-01 23:00:00,6349.5,0.70079,0.98134,0.19587,0.76546,0.85211,0.69761,0.61775
2018-07-02 00:00:00,6338.5,0.72285,0.98374,0.21542,0.77794,0.87094,0.70323,0.7119
2018-07-02 01:00:00,6329.34,0.69585,0.98494,0.2205,0.78481,0.89046,0.69496,0.74033
2018-07-02 02:00:00,6326.05,0.71116,0.98029,0.25955,0.75917,0.85075,0.68459,0.71183
2018-07-02 03:00:00,6329.8,0.69037,0.97644,0.23532,0.73842,0.83719,0.65163,0.69704
2018-07-02 04:00:00,6304.55,0.67659,0.97786,0.22781,0.74651,0.85243,0.67456,0.71218
2018-07-02 05:00:00,6292.52,0.67544,0.97993,0.25836,0.75861,0.86794,0.66913,0.73149
2018-07-02 06:00:00,6304.29,0.70006,0.98083,0.23475,0.76266,0.8569,0.68477,0.69292
2018-07-02 07:00:00,6330.4,0.6904,0.98222,0.27404,0.77121,0.87202,0.67806,0.71052
2018-07-02 08:00:00,6329.99,0.68891,0.98444,0.1983,0.78514,0.89263,0.68127,0.72487
2018-07-02 09:00:00,6318.19,0.6916,0.9819,0.21699,0.77081,0.87,0.68676,0.69497
2018-07-02 10:00:00,6323.59,0.68165,0.97713,0.23935,0.74576,0.83945,0.67002,0.6941
2018-07-02 11:00:00,6336.68,0.68863,0.98207,0.21806,0.77099,0.87015,0.68798,0.68244
2018-07-02 12:00:00,6333.4,0.72266,0.98088,0.16322,0.76383,0.85528,0.68391,0.7566
2018-07-02 13:00:00,6595.84,0.7035,0.98361,0.2177,0.7785,0.87414,0.69925,0.68992
2018-07-02 14:00:00,6609.94,0.72554,0.98744,0.27237,0.80315,0.90792,0.71033,0.76504
2018-07-02 15:00:00,6610.99,0.72485,0.98824,0.25305,0.80943,0.91159,0.71748,0.79342
2018-07-02 16:00:00,6605.01,0.70736,0.98457,0.24178,0.78604,0.88103,0.70283,0.71096
2018-07-02 17:00:00,6610.01,0.70349,0.98277,0.22551,0.77526,0.87011,0.69354,0.69635
2018-07-02 18:00:00,6628.99,0.71698,0.98524,0.24629,0.79016,0.88258,0.71398,0.72935
2018-07-02 19:00:00,6621.81,0.71218,0.98217,0.19836,0.77266,0.86048,0.6957,0.7117
2018-07-02 20:00:00,6619.0,0.70119,0.98268,0.23741,0.77487,0.86638,0.6965,0.7322
