date_time,close,MCS,Jaccard,VertexRanking,VertexEdgeOverlap,BagOfCliques,BagOfNodes,WeisfeleirLehmanKernel
2018-07-01 00:30:00,6365.0,0.81238,0.99747,0.37026,0.88674,0.95804,0.79385,0.92105
2018-07-01 00:45:00,6365.0,0.81699,0.99536,0.38824,0.86887,0.91776,0.80754,0.69157
2018-07-01 01:00:00,6339.14,0.84096,0.99602,0.26541,0.87652,0.91941,0.82238,0.78273
2018-07-01 01:15:00,6340.0,0.84249,0.99661,0.26444,0.8794,0.93449,0.80814,0.91507
2018-07-01 01:30:00,6352.39,0.77289,0.99386,0.34838,0.83977,0.92223,0.735,0.88865
2018-07-01 01:45:00,6352.39,0.71847,0.98515,0.38987,0.78127,0.84349,0.70376,0.78723
2018-07-01 02:00:00,6352.38,0.82658,0.99638,0.2373,0.87478,0.93677,0.79245,0.9169
2018-07-01 02:15:00,6333.0,0.81069,0.99404,0.32365,0.85121,0.90682,0.77217,0.73155
2018-07-01 02:30:00,6338.77,0.77728,0.99504,0.35769,0.85189,0.93424,0.73659,0.93446
2018-07-01 02:45:00,6339.0,0.84762,0.99768,0.36527,0.89632,0.9538,0.8257,0.94653
2018-07-01 03:00:00,6346.0,0.79762,0.99494,0.31693,0.85893,0.91784,0.78525,0.88
2018-07-01 03:15:00,6355.0,0.77864,0.99056,0.29626,0.82006,0.90861,0.7399,0.76095
2018-07-01 03:30:00,6354.99,0.7301,0.98494,0.37995,0.77767,0.88676,0.66928,0.74965
2018-07-01 03:45:00,6350.15,0.75877,0.98962,0.36441,0.80979,0.87878,0.72186,0.72911
2018-07-01 04:00:00,6342.38,0.7807,0.99338,0.29041,0.84271,0.90193,0.77095,0.77023
2018-07-01 04:15:00,6340.01,0.79773,0.99451,0.38769,0.85017,0.91996,0.75406,0.83379
2018-07-01 04:30:00,6345.86,0.76214,0.99288,0.33823,0.8338,0.91121,0.7315,0.86195
2018-07-01 04:45:00,6345.52,0.75975,0.99265,0.41464,0.83646,0.89925,0.75926,0.84443
2018-07-01 05:00:00,6345.52,0.77618,0.99206,0.43196,0.82396,0.90116,0.71947,0.89861
2018-07-01 05:15:00,6368.38,0.80802,0.99164,0.25891,0.82907,0.87886,0.76261,0.83253
2018-07-01 05:30:00,6354.63,0.78059,0.99066,0.38796,0.81878,0.87894,0.74718,0.72491
2018-07-01 05:45:00,6376.22,0.7827,0.99105,0.40392,0.82273,0.88007,0.74961,0.6946
2018-07-01 06:00:00,6378.02,0.8038,0.99392,0.37669,0.8485,0.90775,0.76868,0.87096
2018-07-01 06:15:00,6366.32,0.82247,0.9983,0.43101,0.89485,0.96948,0.7972,0.93651
2018-07-01 06:30:00,6372.51,0.78652,0.99531,0.30822,0.85434,0.93355,0.75058,0.90608
2018-07-01 06:45:00,6355.18,0.75188,0.98964,0.36414,0.80911,0.87516,0.7255,0.84208
2018-07-01 07:00:00,6362.94,0.74937,0.99451,0.40426,0.84304,0.93167,0.72969,0.89881
2018-07-01 07:15:00,6373.88,0.84385,0.99685,0.27678,0.88097,0.94237,0.79314,0.94048
2018-07-01 07:30:00,6373.88,0.8206,0.99807,0.32449,0.89236,0.96907,0.79499,0.90314
